Clan,Time,Members,Collectors,Thieves,Warriors,Food
1,0,10,5,3,2,0
2,0,10,5,3,2,0
1,1,10,5,3,2,0
2,1,10,5,3,2,0
1,2,10,5,3,2,0
2,2,10,5,3,2,0
1,3,10,5,3,2,0
2,3,10,5,3,2,0
1,4,10,5,3,2,0
2,4,10,5,3,2,5
1,5,10,5,3,2,0
2,5,10,5,3,2,5
1,6,10,5,3,2,5
2,6,10,5,3,2,5
1,7,10,5,3,2,5
2,7,10,5,3,2,10
1,8,10,5,3,2,5
2,8,10,5,3,2,10
1,9,10,5,3,2,7
2,9,10,5,3,2,10
1,10,10,5,3,2,7
2,10,10,5,3,2,10
1,11,10,5,3,2,7
2,11,10,5,3,2,15
1,12,10,5,3,2,17
2,12,10,5,3,2,20
1,13,10,5,3,2,22
2,13,10,5,3,2,20
1,14,10,5,3,2,22
2,14,10,5,3,2,20
1,15,10,5,3,2,22
2,15,10,5,3,2,20
1,16,10,5,3,2,27
2,16,10,5,3,2,25
1,17,10,5,3,2,27
2,17,10,5,3,2,30
1,18,10,5,3,2,29
2,18,10,5,3,2,30
1,19,10,5,3,2,29
2,19,10,5,3,2,30
1,20,10,5,3,2,29
2,20,10,5,3,2,30
1,21,10,5,3,2,29
2,21,10,5,3,2,30
1,22,10,5,3,2,29
2,22,10,5,3,2,30
1,23,10,5,3,2,29
2,23,10,5,3,2,30
1,24,10,5,3,2,9
2,24,10,5,3,2,10
1,25,10,5,3,2,9
2,25,10,5,3,2,10
1,26,10,5,3,2,9
2,26,10,5,3,2,10
1,27,10,5,3,2,9
2,27,10,5,3,2,10
1,28,10,5,3,2,9
2,28,10,5,3,2,10
1,29,10,5,3,2,9
2,29,10,5,3,2,10
1,30,10,5,3,2,9
2,30,10,5,3,2,10
1,31,10,5,3,2,9
2,31,10,5,3,2,15
1,32,10,5,3,2,9
2,32,10,5,3,2,15
1,33,10,5,3,2,9
2,33,10,5,3,2,15
1,34,10,5,3,2,9
2,34,10,5,3,2,15
1,34,10,5,3,2,9
2,34,10,5,3,2,15
1,35,10,5,3,2,9
2,35,10,5,3,2,20
1,36,10,5,3,2,14
2,36,10,5,3,2,20
1,37,10,5,3,2,14
2,37,10,5,3,2,20
1,38,10,5,3,2,19
2,38,10,5,3,2,20
1,39,10,5,3,2,24
2,39,10,5,3,2,20
1,40,10,5,3,2,24
2,40,10,5,3,2,20
1,41,10,5,3,2,29
2,41,10,5,3,2,22
1,42,10,5,3,2,29
2,42,10,5,3,2,22
1,43,10,5,3,2,33
2,43,10,5,3,2,22
1,44,10,5,3,2,33
2,44,10,5,3,2,22
1,45,10,5,3,2,33
2,45,10,5,3,2,22
1,46,10,5,3,2,33
2,46,10,5,3,2,22
1,47,10,5,3,2,33
2,47,10,5,3,2,22
1,48,10,5,3,2,21
2,48,10,5,3,2,10
1,49,10,5,3,2,21
2,49,10,5,3,2,10
1,50,10,5,3,2,21
2,50,10,5,3,2,10
1,51,10,5,3,2,21
2,51,10,5,3,2,10
1,52,10,5,3,2,21
2,52,10,5,3,2,10
1,53,10,5,3,2,21
2,53,10,5,3,2,10
1,54,10,5,3,2,21
2,54,10,5,3,2,10
1,55,10,5,3,2,21
2,55,10,5,3,2,15
1,56,10,5,3,2,21
2,56,10,5,3,2,15
1,57,10,5,3,2,21
2,57,10,5,3,2,15
1,58,10,5,3,2,21
2,58,10,5,3,2,15
1,59,10,5,3,2,21
2,59,10,5,3,2,19
1,60,10,5,3,2,21
2,60,10,5,3,2,19
1,61,10,5,3,2,21
2,61,10,5,3,2,24
1,62,10,5,3,2,26
2,62,10,5,3,2,24
1,63,10,5,3,2,26
2,63,10,5,3,2,24
1,64,10,5,3,2,26
2,64,10,5,3,2,24
1,65,10,5,3,2,26
2,65,10,5,3,2,24
1,66,10,5,3,2,26
2,66,10,5,3,2,28
1,67,10,5,3,2,30
2,67,10,5,3,2,28
1,68,10,5,3,2,30
2,68,10,5,3,2,28
1,69,10,5,3,2,30
2,69,10,5,3,2,28
1,70,10,5,3,2,30
2,70,10,5,3,2,28
1,71,10,5,3,2,30
2,71,10,5,3,2,28
1,72,10,5,3,2,15
2,72,10,5,3,2,13
1,73,10,5,3,2,15
2,73,10,5,3,2,13
1,74,10,5,3,2,15
2,74,10,5,3,2,13
1,75,10,5,3,2,15
2,75,10,5,3,2,13
1,76,10,5,3,2,15
2,76,10,5,3,2,13
1,77,10,5,3,2,15
2,77,10,5,3,2,13
1,78,10,5,3,2,15
2,78,10,5,3,2,13
1,79,10,5,3,2,20
2,79,10,5,3,2,13
1,80,10,5,3,2,20
2,80,10,5,3,2,18
1,81,10,5,3,2,20
